country_code,avg_temp
OD,90.7
DJ,90.53691756272401
CD,88.3363406141184
ML,86.27667673716013
SO,86.14835948644794
CB,85.6640356460853
VC,85.5
HA,85.24937655860349
NG,85.21984688995214
YM,85.02259663032706
TV,84.77831325301204
TL,84.62943037974685
AA,84.58387978142075
DO,84.50595567867035
AE,84.50206456456455
MV,84.45938215102976
UC,84.40928961748632
ES,84.28719447396388
GY,84.28310911808671
CJ,84.13394625176804
ST,83.92530779753761
KR,83.88063291139238
SC,83.78827683615819
FM,83.7406211687781
SG,83.72655699177437
IO,83.5173669467787
BA,83.50619718309858
RM,83.42044943820225
GJ,83.36885245901638
UV,83.33047379755924
AV,83.31413210445469
JM,83.2960563380282
MU,83.26585407725322
SN,83.19361502347417
VI,83.15887323943662
NN,83.10901639344263
NU,83.00204498977504
NS,82.96358921161824
TO,82.90875058493215
CN,82.8668555240793
GH,82.82738319108925
QA,82.76322996375353
CQ,82.74298548721491
KU,82.73300283286119
TH,82.72402504127092
BX,82.68845070422536
AQ,82.66232686980611
VQ,82.59406906906906
MY,82.52573905776664
NI,82.51596891849032
WF,82.44959349593495
SE,82.4143661971831
TD,82.40657534246574
BH,82.27070422535212
PM,82.26247654784241
MH,82.19546742209631
BP,82.17052413077322
PU,82.08356545961003
PS,82.02677595628417
TP,82.0238341968912
BN,81.969900615239
RP,81.94025098223185
BB,81.93360655737706
ID,81.86862180733826
VE,81.86013473930873
GA,81.82843137254902
CK,81.8183908045977
TK,81.81739864864866
RQ,81.80265486725663
GQ,81.7398148148148
CE,81.69556388628553
BM,81.60402281597118
WS,81.49460227272726
AC,81.42732394366197
GV,81.13972169512965
DR,81.12271071168325
SL,80.97121212121212
EK,80.8643465909091
WQ,80.84120956399437
LI,80.76916666666665
MF,80.73521126760562
GB,80.61513560804899
IV,80.58900731452457
CF,80.5017674675504
LA,80.0064067330814
IN,79.76773189959827
CM,79.68304195804194
HO,79.68088297422901
SA,79.60704462531575
NH,79.58716036228023
BY,79.58073654390934
FJ,79.51572516025642
CW,79.15647007042254
TE,79.1
CU,79.08664112388247
VM,79.0529161180389
GP,78.98823529411764
BG,78.86048724468871
MI,78.8513931888545
TN,78.66636587366692
MB,78.53972222222222
CG,78.3250851305335
CO,78.27701238938049
BF,78.22997145575643
CS,78.13531914893618
PP,78.0743947858473
KT,77.90232558139535
FG,77.7013966480447
IZ,77.67392131431043
MP,77.56337868480726
MZ,77.54317087845968
HK,77.43436619718311
CV,77.24659985683608
CT,77.19222333000998
MA,77.16730382293764
NE,77.10169491525423
BL,77.01596966911764
EG,76.9613758806465
FP,76.89109730848863
UG,76.72819277108434
TW,76.29826209488023
BR,75.9655262436618
GT,75.90288040075143
PA,75.66263197026024
MC,75.65605633802815
BC,75.50936785986292
LY,75.48280783272487
NP,75.28212819703192
MX,75.19917679741059
ZI,74.9252765039115
ZA,74.92408906882591
RE,74.7968970380818
TZ,74.65298493229065
NC,74.05198300283284
AO,73.93939551849921
KE,73.81354808698688
PK,73.77130640705171
MR,73.72473684210526
EU,73.2
AG,72.96391216190362
IS,72.42188175919249
BD,71.94583333333333
RW,71.91184738955823
EC,71.69052278820377
WZ,71.4609375
CY,71.0209504054309
WI,70.97940761636106
LE,70.74621513944224
PE,70.65739121696313
WA,70.431809908999
JO,70.05833692373976
TS,69.94173307777665
SY,69.7505036937542
MT,68.75056338028169
IR,68.48386323086375
MO,68.28205537806178
NF,67.47971830985917
MQ,67.27952755905511
GI,67.14253521126761
LT,66.71319444444443
SH,66.32830009496676
ET,66.27121535181239
AS,66.04947361814067
GR,66.01846714470437
PO,65.37063699825481
SF,64.97240416621932
TX,63.66452886038481
UY,62.72865844135563
AR,62.57286545149295
AL,62.479232156660665
MJ,62.34304154901171
TU,62.28270925340643
SP,62.04478956889787
JA,61.41876546132448
IT,61.143438285645864
BT,60.94306358381503
HR,60.51564398334584
UZ,59.43021193635619
AJ,59.15555555555555
KS,58.885563117453344
BK,57.59069683908046
CH,57.307472653221
US,56.53160224737598
FR,56.388892761127146
MK,56.38498279968245
RI,56.05788499025342
BU,55.711209089367465
NZ,55.21847559980414
CI,54.98845709570956
KV,54.94915730337079
GG,54.79834152334153
MD,54.627542232527325
NL,54.57919071669073
GK,54.501704545454544
JE,54.379436619718305
LS,54.08472622478387
RO,53.32305064450238
UP,52.89542532765673
SI,52.27833004787385
BE,52.230377068103124
GM,52.21844022740012
IM,51.82219101123596
KN,51.473035358304486
TI,51.36885129659644
PL,51.31224574656087
LO,51.21566840661771
EI,51.111076345431805
LU,51.061904761904756
UK,50.72318658775955
HU,50.5901837524178
EZ,50.4047612485358
DA,50.34363496932514
SW,50.094189682126114
KG,49.862679877329555
AU,49.81755102914117
AM,49.36588871715612
LH,49.29219988512349
FO,49.05033428844317
LG,47.77958257713249
SZ,47.514658385093156
BO,47.04936255399851
EN,46.876471970854396
KZ,46.23438598359782
SB,45.15900277008311
NO,42.54867571394041
FK,41.40107421874999
FS,41.309269662921345
FI,40.50463148519259
CA,38.993241570425745
IC,37.33360522022836
MG,35.79342988988897
SX,35.05478395061728
RS,32.29814467640139
SV,26.34228650137741
GL,25.13698783910196
AY,4.839687816972839
